species,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,day,month,year
Momotus mexicanus,,Morelos,18.637108,-98.957499,14/04/2022 09:32,14,4,2022
Momotus lessonii,,Chiapas,17.573474,-91.991028,17/05/2022 17:57,17,5,2022
Momotus mexicanus,,Sinaloa,23.636118,-106.374289,02/05/2021 13:45,2,5,2021
Momotus mexicanus,,Jalisco,20.691012,-103.226034,11/06/2022 11:25,11,6,2022
Momotus mexicanus,,Oaxaca,15.861083,-97.082703,05/06/2022 14:53,5,6,2022
Momotus mexicanus,,Morelos,18.615907,-99.332679,18/06/2022 10:34,18,6,2022
Momotus mexicanus,,Jalisco,20.705147,-103.391272,25/05/2022 18:43,25,5,2022
Momotus mexicanus,,Jalisco,20.708722,-103.393593,02/01/2022 10:36,2,1,2022
Momotus mexicanus,,Jalisco,20.708828,-103.393686,26/06/2022 10:36,26,6,2022
Momotus coeruliceps,,Tamaulipas,23.0454,-99.196825,28/04/2022 15:36,28,4,2022
Momotus coeruliceps,,Veracruz,19.51378,-96.8887,02/07/2022 13:22,2,7,2022
Momotus coeruliceps,,Tamaulipas,23.154688,-99.157106,26/06/2022 08:13,26,6,2022
Momotus mexicanus,,Oaxaca,16.484144,-94.932226,01/06/2022 08:30,1,6,2022
Momotus lessonii,,Tabasco,17.621113,-92.470367,11/06/2022 10:14,11,6,2022
Momotus lessonii,,Tabasco,17.377966,-92.753176,04/06/2022 12:41,4,6,2022
Momotus lessonii,,Quintana Roo,19.49681,-88.593886,06/03/2022 08:28,6,3,2022
Momotus mexicanus,,Colima,19.269286,-103.726308,20/06/2022 10:08,20,6,2022
Momotus mexicanus,,Puebla,18.889061,-98.435437,16/06/2022 15:53,16,6,2022
Momotus mexicanus,,Jalisco,20.896766,-103.751142,03/04/2022 09:17,3,4,2022
Momotus mexicanus,,Jalisco,20.437486,-105.479584,04/06/2022 07:30,4,6,2022
Momotus coeruliceps,,San Luis Potosí,21.975871,-99.017255,21/03/2022 08:38,21,3,2022
Momotus mexicanus,,Morelos,18.955028,-98.989807,05/06/2022 12:56,5,6,2022
Momotus mexicanus,,Oaxaca,15.757738,-96.128187,04/06/2022 09:10,4,6,2022
Momotus coeruliceps,,Tamaulipas,22.982606,-99.147483,31/05/2022 17:26,31,5,2022
Momotus mexicanus,,Puebla,18.615125,-98.465974,26/05/2022 13:23,26,5,2022
Momotus mexicanus,,Sinaloa,23.502705,-106.319916,30/04/2022 09:57,30,4,2022
Momotus mexicanus,,Sinaloa,23.637998,-106.365767,09/05/2021 12:44,9,5,2021
Momotus mexicanus,,Jalisco,20.337931,-105.345461,06/05/2022 10:58,6,5,2022
Momotus coeruliceps,,Tamaulipas,22.99967,-99.160307,24/02/2021 07:45,24,2,2021
Momotus lessonii,Mexico - Veracruz de Ignacio de la Llave (VE),Veracruz,18.430065,-95.088646,02/03/2022 00:00,2,3,2022
Momotus lessonii,Mexico - Campeche (CM),Campeche,18.406626,-89.486099,31/01/2022 00:00,31,1,2022
Momotus coeruliceps,Mexico - Veracruz de Ignacio de la Llave (VE),Veracruz,19.547482,-96.920479,04/03/2022 00:00,4,3,2022
Momotus lessonii,Mexico - Campeche (CM),Campeche,18.408413,-89.485184,02/02/2022 00:00,2,2,2022
Momotus mexicanus,"Mazunte, Santa María Tonameca, Oaxaca",Oaxaca,15.6816,-96.5664,09/06/2022 00:00,9,6,2022
Momotus mexicanus,"Mazunte, Santa María Tonameca, Oaxaca",Oaxaca,15.6816,-96.5664,09/06/2022 00:00,9,6,2022
Momotus coeruliceps,,Veracruz,19.548531,-96.920351,22/05/2022 07:43,22,5,2022
Momotus mexicanus,,Chiapas,16.187497,-92.275458,27/04/2022 15:35,27,4,2022
Momotus lessonii,,Tabasco,17.442267,-92.764652,21/05/2022 10:23,21,5,2022
Momotus coeruliceps,,Tamaulipas,23.066014,-99.168647,28/04/2022 15:45,28,4,2022
Momotus lessonii,,Quintana Roo,20.65953,-87.175902,04/05/2022 13:47,4,5,2022
Momotus lessonii,,Yucatán,21.251739,-88.139309,22/05/2022 08:56,22,5,2022
Momotus mexicanus,,Chiapas,16.758799,-93.13703,06/03/2022 08:13,6,3,2022
Momotus mexicanus,,Sonora,27.028793,-108.974534,23/04/2022 07:38,23,4,2022
Momotus mexicanus,,Colima,19.239684,-103.734348,26/05/2022 17:42,26,5,2022
Momotus lessonii,,Tabasco,17.288043,-91.22978,25/09/2021 10:33,25,9,2021
Momotus mexicanus,,Chiapas,16.185505,-92.184102,19/05/2022 17:14,19,5,2022
Momotus mexicanus,,Chiapas,16.72328,-93.097672,15/05/2022 16:11,15,5,2022
Momotus mexicanus,,Jalisco,20.762221,-103.374467,17/05/2022 10:12,17,5,2022
Momotus mexicanus,,Chiapas,16.822552,-93.078819,29/04/2022 14:01,29,4,2022
Momotus mexicanus,,Sinaloa,24.306032,-106.766503,02/05/2022 19:00,2,5,2022
Momotus mexicanus,,Jalisco,20.577964,-105.194966,21/04/2022 10:09,21,4,2022
Momotus mexicanus,,Puebla,18.311457,-97.48862,03/05/2022 09:09,3,5,2022
Momotus lessonii,,Tabasco,17.380075,-92.743946,19/05/2022 18:44,19,5,2022
Momotus mexicanus,,Chiapas,16.051403,-92.97309,16/05/2022 13:44,16,5,2022
Momotus mexicanus,,Puebla,18.311457,-97.48862,03/05/2022 09:16,3,5,2022
Momotus mexicanus,,Colima,19.121602,-104.356417,15/05/2022 03:19,15,5,2022
